news_id,num_nouns,num_propernouns,num_personalnouns,num_ppssessivenouns,num_whpronoun,num_determinants,num_whdeterminants,num_cnum,num_adverb,num_interjections,num_verb,num_adj,num_vbd,num_vbg,num_vbn,num_vbp,num_vbz
0,288.0,153.0,34.0,15.0,13.0,168.0,16.0,23.0,66.0,0.0,88.0,153.0,43.0,41.0,59.0,68.0,48.0
1,132.0,122.0,24.0,6.0,3.0,74.0,5.0,18.0,44.0,0.0,23.0,65.0,34.0,18.0,32.0,28.0,24.0
2,392.0,143.0,63.0,14.0,15.0,269.0,18.0,43.0,118.0,0.0,127.0,198.0,62.0,47.0,46.0,94.0,67.0
3,204.0,119.0,22.0,14.0,4.0,129.0,7.0,15.0,43.0,0.0,55.0,108.0,47.0,41.0,51.0,37.0,29.0
4,31.0,14.0,1.0,1.0,0.0,23.0,0.0,3.0,6.0,0.0,6.0,13.0,4.0,6.0,5.0,10.0,3.0
5,66.0,59.0,1.0,4.0,1.0,43.0,3.0,19.0,16.0,0.0,18.0,39.0,26.0,13.0,20.0,5.0,11.0
6,276.0,137.0,48.0,31.0,1.0,155.0,8.0,14.0,63.0,0.0,89.0,146.0,28.0,34.0,51.0,55.0,41.0
7,293.0,47.0,52.0,17.0,3.0,84.0,16.0,8.0,52.0,0.0,115.0,166.0,12.0,31.0,23.0,48.0,32.0
8,38.0,107.0,8.0,7.0,8.0,30.0,0.0,9.0,11.0,0.0,12.0,18.0,13.0,2.0,8.0,5.0,15.0
9,209.0,51.0,10.0,15.0,1.0,90.0,14.0,14.0,37.0,0.0,45.0,96.0,3.0,28.0,24.0,24.0,14.0
10,138.0,24.0,21.0,6.0,2.0,70.0,4.0,2.0,31.0,0.0,43.0,61.0,7.0,17.0,21.0,11.0,17.0
11,76.0,36.0,10.0,1.0,2.0,46.0,7.0,1.0,18.0,0.0,25.0,59.0,9.0,19.0,16.0,11.0,12.0
12,228.0,135.0,11.0,6.0,1.0,78.0,8.0,24.0,39.0,0.0,24.0,131.0,36.0,11.0,39.0,19.0,28.0
13,104.0,31.0,13.0,1.0,4.0,86.0,9.0,13.0,42.0,0.0,31.0,62.0,8.0,33.0,25.0,25.0,29.0
14,84.0,71.0,16.0,9.0,3.0,41.0,0.0,8.0,13.0,0.0,11.0,36.0,23.0,16.0,14.0,4.0,15.0
15,33.0,41.0,2.0,3.0,0.0,25.0,2.0,6.0,4.0,0.0,1.0,10.0,5.0,1.0,14.0,6.0,3.0
16,122.0,91.0,7.0,5.0,0.0,55.0,4.0,7.0,18.0,0.0,22.0,60.0,8.0,16.0,27.0,13.0,19.0
